generation,population_fitness,mean_fitness,mean_size,survivors,offspring,best_fitness,best_size,second_fitness,second_size,worst_fitness,worst_size,best_second_diff,best_current_vs_last_diff
0,-3985122,-1945,3813,0,2048,-1332,3808,-1380,3877,-2664,3789,3747,-1
1,-3356625,-1638,3823,1564,484,-1108,3877,-1130,3924,-2094,3800,3847,3749
2,-2942146,-1436,3829,1558,490,-960,3877,-986,3916,-1767,3766,3861,3779
3,-2646806,-1292,3836,1589,459,-875,3877,-898,3916,-1602,3840,3845,3769
4,-2437309,-1190,3838,1712,336,-783,3877,-820,3865,-1452,3774,3810,0
5,-2262869,-1104,3841,1740,308,-730,3877,-757,3865,-1326,3823,3802,0
6,-2102047,-1026,3845,1707,341,-692,3877,-723,3865,-1227,3851,3792,0
7,-1967610,-960,3848,1784,264,-646,3865,-668,3877,-1133,3821,3776,3776
8,-1853251,-904,3850,1810,238,-610,3865,-641,3856,-1078,3772,91,0
9,-1751443,-855,3851,1840,208,-568,3865,-592,3900,-1012,3854,3739,0
10,-1656606,-808,3853,1836,212,-517,3865,-552,3900,-982,3947,3735,0
11,-1569413,-766,3855,1876,172,-485,3865,-510,3829,-937,3867,3730,0
12,-1485133,-725,3857,1851,197,-468,3865,-485,3924,-864,3869,3637,0
13,-1404408,-685,3858,1898,150,-437,3829,-443,3865,-833,3898,3720,3720
14,-1325406,-647,3859,1884,164,-414,3897,-416,3865,-780,3807,3688,3698
15,-1254248,-612,3860,1913,135,-396,3829,-404,3865,-758,3925,3708,3694
16,-1182190,-577,3861,1855,193,-375,3903,-378,3829,-702,3899,3670,3633
17,-1118053,-545,3862,1941,107,-336,3829,-346,3903,-673,3894,3670,3670
18,-1057132,-516,3863,1882,166,-321,3829,-326,3903,-638,3841,3670,3678
19,-1002052,-489,3863,1938,110,-299,3903,-316,3870,-603,3774,3639,3658
20,-951507,-464,3864,1927,121,-286,3903,-290,3870,-571,3830,3631,0
21,-906650,-442,3864,1962,86,-263,3903,-276,3870,-545,3919,3627,0
22,-861706,-420,3865,1939,109,-249,3903,-252,3870,-519,3805,3657,2528
23,-820331,-400,3866,1975,73,-238,3903,-240,3870,-499,3865,3641,0
24,-779104,-380,3866,1938,110,-213,3903,-224,3870,-475,3952,3635,3651
25,-738518,-360,3867,1957,91,-198,3903,-202,3846,-455,3848,3515,0
26,-698299,-340,3867,1931,117,-180,3903,-185,3846,-440,3838,3491,3548
27,-660486,-322,3867,1974,74,-172,3846,-176,3852,-425,3899,296,3487
28,-627519,-306,3867,1986,62,-161,3846,-162,3886,-404,3808,426,0
29,-595949,-290,3867,2001,47,-147,3852,-151,3846,-383,3878,298,298
30,-564790,-275,3868,1984,64,-136,3886,-141,3852,-370,3858,642,642
31,-533262,-260,3867,1976,72,-127,3886,-129,3846,-353,3895,412,0
32,-501789,-245,3868,1956,92,-112,3846,-115,3852,-335,3888,302,3629
33,-469780,-229,3869,1950,98,-100,3846,-104,3890,-314,3834,430,3635
34,-441590,-215,3870,1991,57,-90,3846,-91,3886,-300,3925,416,0
35,-413068,-201,3870,1955,93,-78,3886,-83,3846,-288,3850,420,3573
36,-387065,-188,3870,2001,47,-70,3886,-70,3846,-283,3892,418,0
37,-364611,-178,3870,1980,68,-59,3846,-63,3886,-258,3880,418,418
38,-342016,-167,3871,1982,66,-48,3846,-50,3852,-234,3874,314,0
39,-320861,-156,3872,1968,80,-35,3846,-40,3852,-228,3849,310,3460
40,-301145,-147,3872,1996,52,-27,3846,-31,3852,-214,3939,312,0
41,-283267,-138,3872,2008,40,-16,3846,-22,3852,-208,3849,316,0
42,-261845,-127,3873,1949,99,-6,3846,-11,3852,-199,3971,312,886
43,-240432,-117,3874,1957,91,-2,3850,-2,3852,-184,3873,308,3392
44,-212013,-103,3874,1969,79,3766,3858,3764,3860,-169,3809,306,0
45,-183954,-89,3875,1952,96,3766,3858,3764,3860,-153,3811,306,924
46,-156959,-76,3875,1974,74,3766,3858,3764,3860,-157,3823,306,0
47,-101326,-49,3876,1920,128,3766,3858,3764,3860,-135,3830,306,295
48,-48294,-23,3876,1960,88,3766,3858,3765,3859,-125,3864,37,0
49,26676,13,3877,1961,87,3766,3858,3765,3859,-111,3849,37,0
50,106877,52,3878,1881,167,3766,3858,3765,3859,-100,3835,37,3388
51,229527,112,3879,1959,89,3766,3858,3766,3858,-93,3916,426,0
52,348072,169,3881,1916,132,3774,3850,3767,3857,-76,3914,125,416
53,546156,266,3883,1959,89,3788,3836,3774,3850,-73,3864,3246,3246
54,809454,395,3886,1941,107,3788,3836,3774,3850,-59,3897,3246,0
55,1100322,537,3889,1942,106,3814,3810,3811,3813,-50,3950,125,3366
