generation,population_fitness,mean_fitness,mean_size,survivors,offspring,best_fitness,best_size,second_fitness,second_size,worst_fitness,worst_size,best_second_diff,best_current_vs_last_diff
0,-3996648,-1951,3811,0,2048,-1309,3926,-1378,3887,-2880,3737,3775,-1
1,-3567553,-1741,3818,1651,397,-1157,3926,-1248,3835,-2133,3710,3871,0
2,-3280865,-1601,3825,1598,450,-1075,3926,-1139,3860,-1932,3833,3776,0
3,-3058915,-1493,3831,1604,444,-1016,3926,-1074,3861,-1788,3775,3721,0
4,-2856442,-1394,3838,1589,459,-953,3926,-999,3824,-1622,3769,3798,3767
5,-2680425,-1308,3842,1604,444,-932,3926,-937,3824,-1531,3878,3788,3843
6,-2528544,-1234,3848,1613,435,-870,3824,-906,3926,-1416,3771,3782,3805
7,-2417006,-1180,3852,1729,319,-820,3824,-892,3930,-1384,3829,3762,0
8,-2310205,-1128,3857,1687,361,-782,3824,-857,3922,-1324,3800,3832,0
9,-2216591,-1082,3861,1706,342,-758,3824,-812,3930,-1219,3862,3754,0
10,-2119037,-1034,3865,1687,361,-716,3824,-786,3854,-1183,3924,3712,3746
11,-2040228,-996,3867,1802,246,-692,3824,-743,3854,-1126,3842,3706,0
12,-1956231,-955,3871,1725,323,-654,3824,-708,3912,-1072,3833,3748,3793
13,-1883314,-919,3874,1771,277,-628,3824,-660,3912,-1050,3809,3740,0
14,-1815906,-886,3876,1789,259,-606,3824,-619,3912,-1008,3835,3734,0
15,-1751357,-855,3877,1800,248,-584,3824,-595,3912,-968,3913,3726,0
16,-1693939,-827,3879,1867,181,-573,3824,-573,3912,-947,3872,3720,0
17,-1636448,-799,3881,1817,231,-549,3912,-558,3824,-917,3885,3724,3724
18,-1585711,-774,3883,1879,169,-537,3824,-561,3912,-884,3963,3724,3724
19,-1540036,-751,3884,1910,138,-518,3824,-558,3912,-857,3906,3720,0
20,-1496755,-730,3885,1895,153,-505,3824,-531,3912,-847,3915,3718,0
21,-1455923,-710,3886,1903,145,-479,3824,-524,3912,-811,3821,3716,0
22,-1416071,-691,3887,1905,143,-463,3824,-513,3943,-785,3886,3673,0
23,-1378257,-672,3888,1904,144,-452,3824,-485,3873,-768,3950,3699,0
24,-1336196,-652,3888,1867,181,-441,3824,-455,3873,-742,3843,3695,3691
25,-1294979,-632,3888,1877,171,-425,3824,-427,3873,-723,3875,3689,3721
26,-1252519,-611,3889,1885,163,-402,3873,-415,3824,-707,3899,3687,3723
27,-1214697,-593,3889,1930,118,-380,3873,-392,3890,-685,3865,189,0
28,-1179270,-575,3889,1940,108,-365,3890,-368,3873,-672,3903,189,189
29,-1140866,-557,3889,1879,169,-342,3890,-350,3873,-645,3869,187,3716
