# Genetic Algorithm Configuration
# Graph: lasftm_asia/lastfm_asia_edges.csv
# Nodes: 7624, Population: 2048, Generations: 20
# Node Probability: 0,50, Mutation Rate: 0
# Selection: Tournament (n=4), Children/Parent: 2
# Learning: 5, Recombination Prob: 0,50
# Break Fitness: 2147483647
# Worst Possible Fitness: 55612

generation,population_fitness,mean_fitness,mean_size,survivors,offspring,best_fitness,best_size,second_fitness,second_size,worst_fitness,worst_size,best_second_diff,best_worst_diff,best_current_vs_last_diff
0,-3985653,-1946,3810,0,2048,-1348,3846,-1377,3894,-2657,3783,3720,3821,-1
1,-3542131,-1729,3819,1580,468,-1207,3888,-1223,3894,-2124,3795,3800,3867,3886
2,-3235385,-1579,3826,1555,493,-1090,3888,-1117,3901,-1892,3784,1087,3786,3821
3,-2999584,-1464,3834,1574,474,-1053,3888,-1079,3894,-1737,3798,3788,3816,3802
4,-2835018,-1384,3839,1688,360,-996,3940,-1006,3894,-1603,3828,3826,3766,3776
5,-2692059,-1314,3843,1712,336,-934,3912,-955,3894,-1533,3830,3808,3828,3760
6,-2546449,-1243,3847,1619,429,-850,3912,-929,3894,-1424,3791,3802,3693,3791
7,-2437162,-1190,3850,1728,320,-804,3912,-891,3894,-1426,3856,3802,3792,0
8,-2344199,-1144,3852,1764,284,-774,3912,-855,3894,-1327,3777,3800,3851,0
9,-2256609,-1101,3855,1747,301,-753,3912,-832,3867,-1265,3802,3747,3790,0
10,-2161725,-1055,3859,1684,364,-692,3912,-792,3898,-1213,3896,3716,3746,3810
11,-2084483,-1017,3861,1799,249,-687,3912,-757,3898,-1161,3952,3718,3748,0
12,-2013043,-982,3862,1807,241,-659,3912,-716,3898,-1104,3865,3710,2765,0
13,-1946263,-950,3863,1832,216,-650,3912,-690,3898,-1077,3827,3708,3739,0
14,-1876474,-916,3865,1781,267,-613,3912,-670,3898,-1045,3882,3702,3754,0
15,-1816306,-886,3866,1857,191,-586,3912,-628,3898,-1017,3904,3700,3718,0
16,-1751750,-855,3868,1763,285,-565,3912,-592,3898,-988,3907,3694,3719,3750
17,-1698084,-829,3869,1878,170,-542,3912,-561,3885,-940,3870,131,3718,0
18,-1642534,-802,3872,1806,242,-527,3912,-541,3885,-899,3893,127,3755,3780
19,-1591275,-776,3873,1858,190,-512,3912,-515,3885,-882,3894,123,3686,0
