# Genetic Algorithm Configuration
# Graph: lastfm_asia/lastfm_asia_edges.csv
# Nodes: 7624, Population: 4096, Generations: 150
# Node Probability: 0,50, Mutation Rate: 0.000130999993416480720043182373046875
# Selection Method: Stochastic Universal Sampling (n=4)
# Recombination Method: OnePointCrossoverThreaded, Intersection Prob: 0,50
# Mutation Method: Mutation, Children/Parent: 2
# Activate Learning: true
# Amount of Learners: 5
# Randomize Learners: true
# Break Fitness: 2147483647
# Worst Possible Fitness: 55612

generation,population_fitness,mean_fitness,mean_size,survivors,offspring,best_fitness,best_size,second_fitness,second_size,worst_fitness,worst_size,best_second_diff,best_worst_diff,best_current_vs_last_diff
0,-7966971,-1945,3811,0,4096,-1285,3933,-1351,3908,-2644,3703,3747,3800,-1
1,-7425897,-1812,3821,3156,940,-1153,3864,-1219,3876,-2093,3797,3822,3819,3777
2,-7087024,-1730,3825,3323,773,-1153,3864,-1157,3863,-1970,3798,157,3740,0
3,-6793039,-1658,3828,3322,774,-1079,3863,-1130,3879,-1876,3865,3830,3820,165
4,-6444032,-1573,3834,3150,946,-1036,3863,-1130,3879,-1808,3839,3830,3814,3790
5,-6166229,-1505,3839,3213,883,-993,3863,-1077,3904,-1694,3798,3841,3733,0
6,-5962788,-1455,3843,3358,738,-993,3863,-1028,3864,-1646,3912,171,3745,0
7,-5783243,-1411,3845,3382,714,-958,3863,-982,3800,-1592,3839,3786,3810,0
8,-5608139,-1369,3848,3389,707,-958,3863,-982,3800,-1520,3816,3786,3819,0
9,-5450155,-1330,3852,3377,719,-958,3863,-963,3801,-1484,3831,3793,3794,0
10,-5304393,-1295,3855,3419,677,-925,3863,-929,3929,-1446,3818,3790,3794,0
11,-5164983,-1260,3858,3439,657,-879,3929,-885,3873,-1398,3811,3729,3748,3786
12,-5008069,-1222,3862,3319,777,-879,3929,-879,3933,-1367,3862,3792,3840,0
13,-4849148,-1183,3865,3291,805,-831,3969,-879,3929,-1328,3881,3742,3852,3790
14,-4735596,-1156,3868,3482,614,-829,3929,-831,3969,-1263,3836,3742,3740,3742
15,-4631627,-1130,3870,3493,603,-807,3969,-824,3878,-1256,3752,3850,3713,3742
16,-4490900,-1096,3874,3306,790,-762,3969,-800,3929,-1198,3871,3738,3798,3751
17,-4394945,-1072,3877,3527,569,-762,3969,-768,3908,-1200,3864,3838,3837,0
18,-4301123,-1050,3880,3519,577,-745,3908,-756,3881,-1156,3925,1465,3764,3836
19,-4218640,-1029,3883,3558,538,-701,3908,-740,3969,-1137,3792,3834,3815,0
20,-4124023,-1006,3886,3464,632,-701,3908,-714,3881,-1118,3888,1465,3806,0
21,-4021138,-981,3889,3376,720,-699,3881,-701,3908,-1127,3896,1463,2455,3807
22,-3947507,-963,3891,3572,524,-699,3881,-701,3908,-1075,3938,1463,3119,0
23,-3872984,-945,3893,3572,524,-690,3947,-699,3881,-1043,3937,3777,3774,3777
24,-3804544,-928,3895,3607,489,-663,3947,-665,3906,-1015,3861,3719,3784,0
25,-3738389,-912,3897,3613,483,-663,3947,-665,3906,-989,3910,3719,3803,0
26,-3672157,-896,3899,3586,510,-640,3947,-641,3881,-975,3931,3771,3782,0
27,-3608949,-881,3901,3646,450,-609,3881,-617,3947,-980,3854,3769,3803,3769
28,-3531591,-862,3903,3482,614,-594,3947,-609,3881,-941,3903,3769,3713,3753
29,-3457861,-844,3905,3519,577,-594,3947,-609,3881,-926,3934,3769,3459,3801
30,-3392551,-828,3907,3585,511,-585,3881,-593,3931,-923,3926,1699,3817,3767
31,-3324149,-811,3910,3521,575,-574,3931,-581,3906,-883,3835,299,3772,3810
32,-3272332,-798,3911,3684,412,-574,3931,-581,3906,-867,3893,299,3788,0
33,-3211948,-784,3912,3610,486,-568,3931,-573,3906,-865,3895,299,3805,0
34,-3165793,-772,3913,3742,354,-560,3906,-568,3931,-852,3861,299,3760,299
